Bter_ID,Amel.GB
LOC100648310,GB40007
LOC100648310,GB40007
LOC100648310,GB40007
LOC100648310,GB40007
LOC105665841,GB40010
LOC100651029,GB40012
LOC100651029,GB40012
LOC100651394,GB40013
LOC100651273,GB40014
LOC100651273,GB40014
LOC100651273,GB40014
LOC100651273,GB40014
LOC100651273,GB40014
LOC100651116,GB40015
LOC100651116,GB40015
LOC100651358,GB40016
LOC100651358,GB40016
LOC100651476,GB40017
LOC100652185,GB40018
LOC100651593,GB40019
LOC100651593,GB40019
LOC100651593,GB40019
LOC100651593,GB40019
LOC100651946,GB40020
LOC100651946,GB40020
LOC100644671,GB40021
LOC110120267,GB40021
LOC100644916,GB40022
LOC100644916,GB40022
LOC100644916,GB40022
LOC100644916,GB40022
LOC100645479,GB40027
LOC100642945,GB40027
LOC100644548,GB40028
LOC100645362,GB40029
LOC100651711,GB40030
LOC100651711,GB40030
LOC100651711,GB40030
LOC100651711,GB40030
LOC100651711,GB40030
LOC100651711,GB40030
LOC100651829,GB40031
LOC100652069,GB40032
LOC100651150,GB40033
LOC100651150,GB40033
LOC100651150,GB40033
LOC100647910,GB40038
LOC100647910,GB40038
LOC100647910,GB40038
LOC100647910,GB40038
LOC100644702,GB40047
LOC100644702,GB40047
LOC100644669,GB40056
LOC100645060,GB40057
LOC100645060,GB40057
LOC100645060,GB40057
LOC100645060,GB40057
LOC100645060,GB40057
LOC100645060,GB40057
LOC100648766,GB40061
LOC100650415,GB40063
LOC105666376,GB40064
LOC100651219,GB40067
LOC100651219,GB40067
LOC100651219,GB40067
LOC100651538,GB40069
LOC100651538,GB40069
LOC100652013,GB40070
LOC100651893,GB40071
LOC100652209,GB40072
LOC100652209,GB40072
LOC100642417,GB40073
LOC100642535,GB40074
LOC100642535,GB40074
LOC100642535,GB40074
LOC100642535,GB40074
LOC100642535,GB40074
LOC100642535,GB40074
LOC100642535,GB40074
LOC100642654,GB40075
LOC100642654,GB40075
LOC100642654,GB40075
LOC100642772,GB40076
LOC100642772,GB40076
LOC100643214,GB40077
LOC100643339,GB40080
LOC100643780,GB40083
LOC105666377,GB40084
LOC100644458,GB40085
LOC100644342,GB40086
LOC100645652,GB40089
LOC100645652,GB40089
LOC100645652,GB40089
LOC100645652,GB40089
LOC100645652,GB40089
LOC100645652,GB40089
LOC100645652,GB40089
LOC100645652,GB40089
LOC100645652,GB40089
LOC100644496,GB40091
LOC100644939,GB40092
LOC100645059,GB40093
LOC100645173,GB40094
LOC100645298,GB40095
LOC100645298,GB40095
LOC100645535,GB40098
LOC105666384,GB40100
LOC100646676,GB40102
LOC100646676,GB40102
LOC100649592,GB40103
LOC100649592,GB40103
LOC100646555,GB40106
LOC100646555,GB40106
LOC100646433,GB40107
LOC100646313,GB40108
LOC100646196,GB40109
LOC100646196,GB40109
LOC100646073,GB40110
LOC100645959,GB40112
LOC100645773,GB40113
LOC100645773,GB40113
LOC100645773,GB40113
LOC100649467,GB40114
LOC100649229,GB40118
LOC100649229,GB40118
LOC100644819,GB40119
LOC100644819,GB40119
LOC100644693,GB40120
LOC100644693,GB40120
LOC100648996,GB40122
LOC100648879,GB40123
LOC105666381,GB40124
LOC105666381,GB40124
LOC105666381,GB40124
LOC105666381,GB40124
LOC105666381,GB40124
LOC100645889,GB40126
LOC100645536,GB40130
LOC100645536,GB40130
LOC100645536,GB40130
LOC100645536,GB40130
LOC100645536,GB40130
LOC100645536,GB40130
LOC100645536,GB40130
LOC100645536,GB40130
LOC100645536,GB40130
LOC100644032,GB40134
LOC100644223,GB40135
LOC100643905,GB40140
LOC100643588,GB40141
LOC100643461,GB40142
LOC100643461,GB40142
LOC100643092,GB40145
LOC100643092,GB40145
LOC100643092,GB40145
LOC100643092,GB40145
LOC100643092,GB40145
LOC100652325,GB40146
LOC100652325,GB40146
LOC100652325,GB40146
LOC100652325,GB40146
LOC100651771,GB40147
LOC100651655,GB40148
LOC100651416,GB40149
LOC100650781,GB40151
LOC100650781,GB40151
LOC100650781,GB40151
LOC100650781,GB40151
LOC100650781,GB40151
LOC100650781,GB40151
LOC100650781,GB40151
LOC100650781,GB40151
LOC100650781,GB40151
LOC100650781,GB40151
LOC100649111,GB40155
LOC100649111,GB40155
LOC100650804,GB40157
LOC100648653,GB40158
LOC100648653,GB40158
LOC100646799,GB40159
LOC100646799,GB40159
LOC100650898,GB40162
LOC100650898,GB40162
LOC100650898,GB40162
LOC100650898,GB40162
LOC100642297,GB40163
LOC100642973,GB40165
LOC100643709,GB40169
LOC105666433,GB40170
LOC100642745,GB40183
LOC100643989,GB40183
LOC100648345,GB40183
LOC100649161,GB40183
LOC100642745,GB40184
LOC100643989,GB40184
LOC100648345,GB40184
LOC100649161,GB40184
LOC100642745,GB40186
LOC100643989,GB40186
LOC100648345,GB40186
LOC100649161,GB40186
LOC100642745,GB40187
LOC100643989,GB40187
LOC100648345,GB40187
LOC100649161,GB40187
LOC100642745,GB40189
LOC100643989,GB40189
LOC100648345,GB40189
LOC100649161,GB40189
LOC100648172,GB40191
LOC100643382,GB40191
LOC100646043,GB40197
LOC100643383,GB40198
LOC100643383,GB40201
LOC100643910,GB40203
LOC100643910,GB40203
LOC100642622,GB40204
LOC100642622,GB40205
LOC100650097,GB40206
LOC100646966,GB40207
LOC100643061,GB40208
LOC110119955,GB40210
LOC100643015,GB40211
LOC100643015,GB40211
LOC100643015,GB40211
LOC100643015,GB40211
LOC100643015,GB40211
LOC100643015,GB40211
LOC100643015,GB40211
LOC100643015,GB40211
