Bter_ID,Mated_3,Mated_4,Mated_17,Mated_18,Mated_22,Diapause_33,Diapause_34,Diapause_35,Diapause_36,Diapause_37,Founder_Diapause_40,Founder_Diapause_41,Founder_Diapause_42,Founder_Diapause_80,Founder_Diapause_83
LOC100648113,742,171,734,692,594,516,572,472,706,684,62,317,164,207,266
LOC100652064,188,56,212,175,200,177,474,380,432,527,47,105,130,105,135
LOC100646373,2617,137,2083,633,4199,11050,825,258,358,642,6652,25182,22268,27004,28200
LOC100650852,196,93,385,247,348,372,261,188,119,318,341,272,417,480,262
LOC100647372,156,21,235,152,197,269,111,122,120,124,65,310,250,312,342
LOC100645511,1235,46,2265,297,2626,860,528,195,368,321,219,1178,893,2359,2324
LOC100648958,54,18,93,61,111,86,19,22,34,90,23,56,45,62,66
LOC100647743,515,99,903,445,1142,924,268,252,229,543,1301,943,1381,2220,1479
LOC100644486,31,23,60,69,40,29,93,69,73,82,8,25,30,20,19
LOC100644779,1197,207,1486,1524,973,850,1121,1007,1072,1039,44,364,113,214,368
LOC100647990,65,50,15,25,18,16,54,79,55,48,3,40,10,8,28
LOC100643961,488,135,638,502,646,697,978,761,761,1111,610,567,810,811,695
LOC100647673,231,31,384,299,384,457,177,113,137,181,365,353,485,341,316
LOC100649210,660,354,917,1072,1422,319,1216,1102,794,817,95,274,191,211,177
LOC100650952,316,133,279,390,149,178,512,525,789,297,24,112,39,51,87
LOC100646479,593,129,676,605,788,692,1092,891,1188,1059,175,410,281,536,605
LOC100650375,379,116,673,422,694,715,432,385,291,609,1343,666,806,983,913
LOC100649879,415,269,468,430,338,368,896,860,1013,978,21,257,173,152,222
LOC100650816,201,161,252,258,227,249,909,702,535,761,100,237,193,190,242
LOC100650331,24,14,46,16,36,36,80,44,39,108,20,56,48,135,104
LOC100646004,433,131,733,450,602,671,584,470,635,910,273,469,516,573,569
LOC100649030,852,620,1067,1413,989,773,2058,1490,1949,1227,86,405,259,368,584
LOC100648256,1940,272,1353,987,1729,2036,937,717,665,987,1091,1775,3075,1910,1925
LOC100647633,514,211,923,588,1032,1057,1525,1169,1435,1656,136,433,452,884,625
LOC100646980,488,141,693,544,660,868,1268,1060,1236,1263,127,432,469,397,455
LOC100649587,50,27,72,69,68,36,228,179,153,223,5,21,11,17,17
LOC100648171,876,518,934,951,693,574,2769,2527,2091,2088,60,311,191,195,328
LOC100645212,522,123,549,633,503,362,834,622,798,766,49,251,142,167,239
LOC100647919,26,39,12,20,41,18,73,62,69,45,8,25,13,15,36
LOC100650382,99,23,116,117,145,142,89,55,54,93,64,161,80,265,154
LOC100649180,46,24,58,58,64,30,294,209,151,107,15,20,24,25,29
LOC100646448,4,1,9,6,8,2,25,15,12,12,6,4,5,4,4
LOC100649352,158,30,325,305,226,67,70,75,38,104,21,38,29,42,36
LOC100643335,1279,287,1919,1359,1804,2113,981,783,1048,1187,1523,1585,2923,2727,1898
LOC100648219,154,25,250,191,259,231,75,81,71,155,803,348,261,630,352
LOC100650515,332,100,587,264,634,603,292,198,157,409,1324,622,646,1332,917
LOC100646694,510,97,824,507,994,1123,622,479,494,841,1129,696,1702,1288,1029
LOC100651170,2919,129,7350,4002,9742,5010,377,325,218,1112,4358,3270,4324,6142,4315
LOC100645986,556,167,1194,584,1248,1166,809,676,546,1308,877,1314,1577,2160,1765
LOC100646012,298,85,832,365,501,662,166,158,155,313,823,669,845,2124,1191
LOC100645606,451,198,674,806,519,759,1720,2044,1394,605,42,279,224,262,330
LOC100642546,18,27,45,12,8,14,22,34,22,12,47,626,471,671,475
LOC100651807,47,12,50,13,32,59,53,41,22,36,79,42,45,102,57
LOC100652332,6,16,12,6,9,3,4,12,6,8,11,163,173,127,65
LOC100650431,2501,267,4346,3146,2045,1575,5213,4399,4969,4944,258,876,665,549,725
LOC100643018,180,43,338,172,382,335,156,166,179,374,303,319,567,551,496
LOC100648328,2021,293,4391,4278,3887,6492,1214,928,949,1396,3496,3320,6716,3453,3800
LOC100643670,252,63,489,283,399,432,289,204,212,395,518,503,501,594,477
LOC100649344,388,86,498,435,381,353,919,937,1092,1082,60,294,149,170,279
LOC100652172,205,32,257,257,234,205,445,440,558,586,71,191,153,107,146
LOC100645568,727,119,1310,904,2087,1669,1128,535,584,736,1093,968,1100,1970,1282
LOC100647173,231,40,215,185,278,271,261,251,294,370,55,223,191,174,254
LOC100643251,1317,400,1460,1497,1485,1525,2627,2149,2366,2811,184,1065,714,747,1103
LOC100647628,47,35,72,93,65,91,106,98,126,73,14,38,20,35,37
LOC100647970,686,168,1331,823,1574,1339,1032,820,927,1475,2657,1624,1888,2837,1898
LOC100650238,9,13,13,4,9,9,15,15,20,9,9,167,110,166,191
LOC100648481,386,156,418,560,277,298,826,550,1128,498,54,282,105,105,183
LOC100644769,50,12,61,28,53,54,79,66,94,123,57,169,79,318,236
